content_id,date,platform,content_type,landing_url,utm_source,utm_medium,utm_campaign,utm_content,short_link
launch-post-ig,2025-11-03,Instagram,Feed Post,https://brisacubanacleanintelligence.com/diagnostico,instagram,organic,launch_sora,post_lanzamiento,
launch-story-ig,2025-11-03,Instagram,Story,https://brisacubanacleanintelligence.com/diagnostico,instagram,story,launch_sora,story_lanzamiento,
launch-post-fb,2025-11-03,Facebook,Feed Post,https://brisacubanacleanintelligence.com/diagnostico,facebook,organic,launch_sora,post_lanzamiento,
launch-post-linkedin,2025-11-06,LinkedIn,Article,https://brisacubanacleanintelligence.com/diagnostico,linkedin,organic,launch_sora,articulo_lanzamiento,
timelapse-reel,2025-11-05,TikTok/Reels,Video,https://brisacubanacleanintelligence.com/amenity-refresh,instagram,video,amenity_refresh,video_timelapse,
story-bts-night,2025-11-13,Instagram,Story,https://brisacubanacleanintelligence.com/diagnostico,instagram,story,bts_guardia,story_guardia_nocturna,
case-azure-linkedin,2025-11-17,LinkedIn,Post,https://brisacubanacleanintelligence.com/diagnostico,linkedin,organic,case_study,post_azure_villa,
testimonial-fb,2025-11-19,Facebook,Video,https://brisacubanacleanintelligence.com/portal-cliente,facebook,video,testimonial,video_carlos,
deepclean-tip,2025-11-21,Instagram,Reel,https://brisacubanacleanintelligence.com/deep-clean,instagram,video,deep_clean,tip_deepclean,
kpi-post,2025-11-24,Instagram/LinkedIn,Graphic,https://brisacubanacleanintelligence.com/diagnostico,instagram,organic,kpi_2025,post_kpi,
portal-walkthrough,2025-11-26,TikTok/Reels,Video,https://brisacubanacleanintelligence.com/portal-cliente,instagram,video,portal_demo,video_portal,
recap-newsletter,2025-11-28,Newsletter,Email,https://brisacubanacleanintelligence.com/diagnostico,email,email,recap_noviembre,newsletter_recap,
